taxon_code,sp_beast2,status,status2,disturbance_sp,elevation_sp,number_population,NCUR_m2_heliconius,NANC_m2_heliconius,T_m2_heliconius,T_m2_heliconius_t,NCUR_m1_honeybee,NANC_m1_honeybee,T_m1_honeybee,T_m1_honeybee_t,NCUR_m3_aphids,NANC_m3_aphids,T_m3_aphids,T_m3_aphids_t,NCUR_m4_silkworm,NANC_m4_silkworm,T_m4_silkworm,T_m4_silkworm_t,mean disturbance,mean elevation
pheidole_simplispinosa,Pheidole.simplinosa_EGP0016E11_Fiji,endemic,1,4.473684211,537.7894737,3,1084841.333,261968594,104155.6667,608.3562716,3380568,292010892,73653,244.4236674,5670001.333,2772674450,146462.3333,499.7293349,3522722,212298765.3,78972.33333,269.7725706,1.526315789,537.7894737
pheidole_ululevu,Pheidole.ululevu_EGP0025D07_Fiji,endemic,1,4.493670886,366.1772152,11,62711965.73,120463898.5,51734.54545,302.1730473,47143941.18,142590908.7,39520.18182,131.1510431,28569080.18,1451859110,56590.09091,193.0853336,51520122.18,99471661,24353.36364,83.19203996,1.506329114,366.1772152
pheidole_umbonata,Pheidole.umbonata_EGP0016E05_Fiji,widespread Pacific native,2,3.682926829,169.5609756,8,103733819.4,6029987.5,34470.125,201.3343815,10222964.63,4653611.375,33998.875,112.8281226,27022472,5480390.125,21867.875,74.61316763,86563653.5,6007149,39392,134.5646083,2.317073171,169.5609756
pheidole_uncagena,Pheidole.uncagena_EGP0022C09_Fiji,endemic,1,4.6,690.2,1,422094,239408673,123377,720.6249465,1224839,276872539,62111,206.1205708,3497531,3001191349,172737,589.3784713,1489640,200575573,82914,283.2374576,1.4,690.2
pheidole_vatu,Pheidole.vatu_EGP0022E11_Fiji,endemic,1,4.4,430.8,5,2968537.2,325504130.8,163270.8,953.6381297,3049192.2,387983181.6,165732.8,549.9982184,6354148.4,3688551039,262864.2,896.8923875,2388220.8,273503167.2,74171.4,253.3723951,1.6,430.8
pheidole_wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,endemic,1,4.47761194,449.0447761,9,67300928.89,196470368.1,129719.3333,757.6694817,78548120.78,230376647,81786.88889,271.4166609,34393946.44,2094855081,230720.8889,787.2194422,41599434.78,163774501.1,59003.44444,201.5580674,1.52238806,449.0447761
philidris_nagasau,Philidris.nagasau_EGP0068D11_Fiji,endemic,1,4.285714286,498.5714286,2,63199511,148794187,217078,1267.917214,73006882.5,170756707,40675,134.9834042,783666822,1837602225,278229,949.3170698,53446707,123847012.5,64389.5,219.9570432,1.714285714,498.5714286
pristomyrmex_mandibularis,Pristomyrmex.mandibularis_EGP0025G10_Fiji,endemic,1,4.49122807,462.7719298,3,3004593,180415215,130220.3333,760.5957411,3704471.333,195509258,42930,142.4668111,4316461.667,1986002786,66207.33333,225.8993551,4935816,152375351.7,80024.66667,273.3673823,1.50877193,462.7719298
pristomyrmex_tsujii,Pristomyrmex.tsujii_EGP0029E11_Fiji,endemic,1,4.545454545,499.3863636,2,5230383,82707220.5,156266.5,912.7271551,488044,95399703,55133.5,182.965151,4386237.5,823003465,74776.5,255.1373432,4690808.5,65700655.5,41695,142.4317461,1.454545455,499.3863636
proceratium_relictum,Proceratium.relictum_EGP0091C09_Fiji,endemic,1,4.307692308,567.2307692,1,8824092,165839285,83636,488.5042433,770315,197107961,3939,13.07190238,9582376,2166473618,20083,68.52317592,9855236,142594130,22472,76.76522841,1.692307692,567.2307692
pseudoponera_stigma,Pseudoponera.stigma_EGP0099C08_Fiji,exotic,3,4.222222222,217.3333333,2,147468028,8137875.5,1090.5,6.369432749,169943366,5074919.5,563.5,1.870022084,1844749240,7154566.5,409,1.395507591,122721269.5,11025138,623.5,2.129900317,1.777777778,217.3333333
rogeria_stigmatica,Rogeria.stigmatica_EGP0035C04_Fiji,widespread Pacific native,2,4.395348837,324.5581395,1,90248089,817797,574,3.352640438,104849256,9183653,265,0.87942476,1140508056,8717690,898,3.063975102,76173285,7295294,415,1.417656185,1.604651163,324.5581395
solenopsis_geminata,Solenopsis.geminata_EGP0035H08_Fiji,exotic,3,2.139534884,258.7906977,1,161859388,9026532,340,1.98588458,192064973,8332454,1567,5.200221128,2104105486,10114696,3509,11.97270449,136355880,8884337,3007,10.27202927,3.860465116,258.7906977
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,widespread Pacific native,2,4.454545455,372.1090909,7,78943485.14,5058197.286,28511.71429,166.5322757,90957407.29,5443615,37297.14286,123.7737015,965600109.3,5352577,48305.85714,164.8195363,64401433.57,5390437.286,25858.42857,88.33340048,1.545454545,372.1090909
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,endemic,1,4.516129032,417.7419355,5,2183227.8,236933506.2,181444.4,1059.787165,2291529.6,265660191,83016,275.4955693,3534686.8,2549940524,138857,473.7799451,2063399.2,188503396.2,52326,178.7476567,1.483870968,417.7419355
strumigenys_chernovi,Strumigenys.chernovi_EGP0037D06_Fiji,endemic,1,4.416666667,354.9583333,2,575152.5,381107188,166984,975.3263256,693892.5,435535898,180153.5,597.8545226,4130102.5,3730170157,283069,965.8311449,444735.5,301046261.5,108990.5,372.3157986,1.583333333,354.9583333
strumigenys_ekasura,Strumigenys.ekasura_EGP0061B04_Fiji,endemic,1,4.36,354.88,3,1208570,37223372,36060.66667,210.6244761,658191,437352799.3,35675.66667,118.3926966,4645162.667,3895279751,46177.66667,157.5581525,447960.3333,313024382.3,26529.66667,90.62637599,1.64,354.88
strumigenys_godeffroyi,Strumigenys.godeffroyi_EGP0061D04_Fiji,widespread Pacific native,2,4.15,283.875,5,94670480.2,5777917.2,8559,49.99172388,81556107.6,4745196.8,21615.6,71.73318431,1196672250,5539433.2,22992.8,78.45141061,77688845.4,5310439.4,43204.6,147.5885986,1.85,283.875
strumigenys_nidifex,Strumigenys.nidifex_EGP0062A08_Fiji,endemic,1,4.666666667,592.2380952,3,553173.3333,461364114.3,168594.3333,984.7320201,722964.3333,534013933.7,217632.3333,722.2311793,4308362.333,4056960295,648266,2211.882944,949134.6667,386161809,277320.3333,947.3370742,1.333333333,592.2380952
strumigenys_rogeri,Strumigenys.rogeri_EGP0062E04_Fiji,exotic,3,4.296296296,285.7037037,1,14605633,15742,40238,235.0235992,33649426,36908,90400,299.9999936,1313982,46404,87925,300.0000121,32896663,35746,87821,299.999961,1.703703704,285.7037037
strumigenys_sulcata,Strumigenys.sulcata_EGP0062G05_Fiji,endemic,1,4.555555556,639.0555556,4,641196,295000788,253755,1482.141593,1463399.5,468478341.8,466591,1548.421427,4794374,3930664259,459787.5,1568.79449,1273694.25,313019846,153626.25,524.7932614,1.444444444,639.0555556
strumigenys_trauma,Strumigenys.trauma_EGP0035F11_Fiji,endemic,1,4.384615385,385.1153846,4,683408.75,299313094.5,152993.25,893.6086354,1374191.75,349257162,116616.25,387.0008214,4795680,3433536993,343262,1171.209601,1356956,246628108.3,148893,508.6242948,1.615384615,385.1153846
tapinoma_melanocephalum,Tapinoma.melanocephalum_EGP0069D02_Fiji,exotic,3,2.666666667,249.9349594,6,96933881,4305447.333,18749.5,109.5127733,150896346.7,5507559.5,15351.16667,50.94413608,1578272597,6042319.167,30693.33333,104.7256226,103844083.8,2132374.667,32843.16667,112.1935382,3.333333333,249.9349594
tapinoma_minutum,Tapinoma.minutum_EGP0069G08_Fiji,widespread Pacific native,2,3.916666667,593.5,1,171810435,8755115,296,1.728887752,198315236,8931092,591,1.961283144,2681754626,9806577,942,3.214103058,176733988,2998879,527,1.800252553,2.083333333,593.5
technomyrmex_vitiensis,Technomyrmex.vitiensis_EGP0101G03_Fiji,widespread Pacific native,2,4.107843137,323.8235294,4,140172511.8,6346181.75,7407.25,43.26453987,115534771.3,6998599.5,11306.75,37.52239964,1763669496,7761257.75,16863,57.53653914,117617789.8,4435034.5,40335,137.7859331,1.892156863,323.8235294
tetramorium_insolens,Tetramorium.insolens_EGP0064B06_Fiji,widespread Pacific native,2,4.25,247.5,2,131092179,5547865.5,1815,10.60111916,14985472,9149708.5,1694.5,5.623340588,1703868293,8713952,819,2.794427181,109957274,8705069.5,1307,4.464762973,1.75,247.5
tetramorium_manni,Tetramorium.manni_EGP0064E11_Fiji,endemic,1,4.379310345,500.4827586,3,9342276.667,124232086,386278,2256.186835,3281729,144849750.7,674.3333333,2.237831811,6771206.667,1573741664,285.6666667,0.974694381,7493590.667,103542152,966.6666667,3.302171033,1.620689655,500.4827586
tetramorium_pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,widespread Pacific native,2,3.86013986,370.8881119,9,163416167.7,7396391.667,6310.888889,36.86087333,172755282.7,5781566.222,6600,21.9026544,1390063747,7974120.889,10589.55556,36.13155297,135531540.9,7247427.889,6729.888889,22.98956291,2.13986014,370.8881119
tetramorium_simillimum,Tetramorium.simillimum_EGP0066G11_Fiji,exotic,3,2.605263158,117.4210526,2,28985052,4223069.5,45541,265.9975578,67008592.5,4289378.5,36576.5,121.3821877,718261872.5,3788748.5,46911,160.0602851,47325996,4837780,49574.5,169.3484254,3.394736842,117.4210526
tetramorium_tonganum,Tetramorium.tonganum_EGP0067D04_Fiji,widespread Pacific native,2,4.068181818,304.1590909,3,101635830,6182985.667,41021.33333,239.5989215,107054067.7,5914648,31457.66667,104.3949093,1132326571,6080670,33988.66667,115.9692967,89985198.67,6514707.333,40098.66667,136.9786092,1.931818182,304.1590909
vollenhovia_fj01,Vollenhovia.fj01_EGP0067E03_Fiji,endemic,1,4.833333333,518.5833333,1,7680955,260996788,14094,82.32075668,8634578,302409288,2509,8.326327256,8767657,3273628278,1928,6.578334072,440346,216024233,61,0.208378379,1.166666667,518.5833333
