species,tree_id,endemic_class,Disturbance,Elevation,Locality.Code,Disturbance_old_coding
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,0,75,"FIJI Moala: Lau Prov. Naroi coastal forest, 4.13 km E of Naroi village (also malaise site)",5
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,1,800,"FIJI Viti Levu: Mt. Evans Range, Koroyanitu Eco Park, Kokabula Trail, 1  km E Abaca Village",4
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,1,800,"FIJI Viti Levu: Mt. Evans Range, Koroyanitu Eco Park, Savuione Trail, 1  km E Abaca Village",4
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,1,135,"FIJI Vanua Levu: Wainibeqa, 4  km NW Kilaka Village",4
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,1,98,"FIJI Vanua Levu: Batiqere Range, 6  km NW Kilaka Village",4
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,1,505,"FIJI Koro I.: Mt. Kuitarua summit, 3.8  km NW Nasau Village",4
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,0,10,FIJI Macuata I: Vunitogoloa,5
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,0,36,FIJI Macuata I: Vunitogoloa,5
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,2,470,FIJI Koro I.: Lomaiviti Prov. 4.4  km W Nasau Village,3
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,10,"FIJI Nanunu-i-Ra I.: Ra Prov. Nanunu-i-Ra Island, McDonald""s Resort",2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,0,1,"FIJI Moala I.: Nakorovusa Bay, 1.5  km NE Maloku Village",5
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,2,30,"FIJI Viti Levu: Navosa Prov. Sigatoka Sand Dunes, 0.5  km. SW visitor center",3
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,4,5,FIJI Viti Levu: Ba Prov. Lautoka Port,1
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,0,700,FIJI Viti Levu: 2.0  km SW Vaturu Dam,5
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,0,326,"FIJI Beqa: Prov. Mt. Korovou, 1.5 km WNW of Dukuibeqa village",5
