sp,sp_beast,pop1 ,pop2,distance,fst,fst_d,same island,endemic1,radiation1,endemic_class
Pheidole.umbonata,Pheidole.umbonata_EGP0016E05_Fiji,BQ,VN,301.6887109,0.143690659,0.000476288,0,2,3,widespread pacific native
Pheidole.umbonata,Pheidole.umbonata_EGP0016E05_Fiji,KV,TA,315.1872853,0.026258015,8.33E-05,0,2,3,widespread pacific native
Pheidole.umbonata,Pheidole.umbonata_EGP0016E05_Fiji,KV,VN,361.8263131,0.00181937,5.03E-06,0,2,3,widespread pacific native
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,VL1,VL2,66.0775451,0.1429368,0.002163168,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,KR,VN,69.2001809,0.14986841,0.002165723,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,GA,KR,76.6915563,0.14531767,0.001894833,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,GA,VL1,88.4158336,0.09281644,0.001049772,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,GA,ML,95.7606856,0.13109271,0.001368962,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,KR,VL1,133.411861,0.05189668,0.000388996,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,GA,VL2,136.277965,0.07398152,0.000542872,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,GA,VN,144.978683,0.10590044,0.000730455,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,KR,VL2,148.788639,0.19613775,0.001318231,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,KR,ML,153.609509,0.09485174,0.000617486,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,ML,VL1,164.735364,0.19440467,0.001180103,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,VL1,VN,197.826258,0.14562436,0.000736123,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,VL2,VN,198.504698,0.1833701,0.000923757,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,ML,VN,209.41016,0.13314976,0.000635832,0,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,ML,VL2,224.769693,0.19837671,0.000882578,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,GA,LA,57.29118311,0.445239233,0.007771514,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,LA,VL1,57.77271487,0.05408196,0.000936116,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,VL1,VL2,67.304781,0.250826005,0.003726719,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,VL2,VL3,83.66517424,0.117165066,0.001400404,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,LA,VL2,86.07987087,0.071530835,0.000830982,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,GA,VL1,88.85633702,0.298152639,0.003355446,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,TA,VN,96.68204563,0.1642992,0.001699377,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,VL1,VL3,102.1575426,0.084245427,0.000824662,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,LA,VN,115.1369836,0.21848195,0.001897583,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,KV,VL3,117.605041,0.010247537,8.71E-05,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,KV,VL1,125.8457832,0.13262024,0.001053831,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,GA,VL2,139.4073732,0.281320009,0.002017971,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,GA,TA,140.9556883,0.288754337,0.002048547,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,LA,TA,147.0542426,0.078814324,0.000535954,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,GA,VN,147.7613157,0.251100369,0.001699365,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,VL2,VN,148.3900211,0.090028565,0.000606702,1,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,LA,VL3,151.5789282,0.035745623,0.000235822,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,VL1,VN,165.8973125,0.108312204,0.000652887,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,KV,VL2,166.4406899,0.123485702,0.00074192,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,KV,LA,180.6362115,0.305854418,0.001693207,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,GA,KV,185.4478875,0.22775462,0.001228133,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,GA,VL3,191.0122523,0.210552177,0.001102297,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,TA,VL1,204.5772582,0.156262773,0.000763833,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,TA,VL2,216.6305511,0.182362087,0.000841811,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,VL3,VN,231.99228,0.102920727,0.000443639,1,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,KV,VN,291.7314944,0.068344918,0.000234273,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,TA,VL3,294.6747571,0.121772572,0.000413244,0,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,KV,TA,321.9415781,0.149070741,0.000463037,0,1,1,endemic
philidris_nagasau,Philidris.nagasau_EGP0068D11_Fiji,TA,VN,34.63765726,0.228496957,0.006596779,0,1,2,endemic
pristomyrmex_mandibularis-female,Pristomyrmex.mandibularis_EGP0025G10_Fiji,GA,KR,75.53934666,0.045711509,0.000605135,0,1,2,endemic
pristomyrmex_mandibularis-female,Pristomyrmex.mandibularis_EGP0025G10_Fiji,GA,VL,185.3286475,0.201726792,0.001088481,0,1,2,endemic
pristomyrmex_mandibularis-female,Pristomyrmex.mandibularis_EGP0025G10_Fiji,KR,VL,200.3212062,0.182272797,0.000909903,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,GA,LK,58.56673485,0.007159532,0.000122246,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,KR,TA,71.83357987,0.008058564,0.000112184,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,GA,KR,75.53934666,0.059721259,0.000790598,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,KR,VN,90.32938647,0.064610121,0.000715272,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,KR,LK,121.050783,0.079836192,0.000659526,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,TA,VN,121.2596746,0.116330974,0.000959354,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,KV,LK,129.7403451,0.119088051,0.000917895,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,GA,TA,139.9988763,0.124680655,0.000890583,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,GA,VN,144.0423751,0.156489725,0.001086415,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,LK,VL,144.1100028,0.156901787,0.001088764,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,LK,VN,160.8691518,0.16420704,0.001020749,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,VL,VN,162.1801677,0.205633931,0.001267935,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,KV,VL,167.1473189,0.230064386,0.001376417,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,GA,VL,185.3286475,0.247341524,0.00133461,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,GA,KV,185.3480202,0.267161503,0.001441405,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,LK,TA,191.504189,0.26852476,0.001402187,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,KR,VL,200.3212062,0.271972948,0.001357684,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,KR,KV,250.2952126,0.279766715,0.001117747,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,TA,VL,264.3562573,0.357962208,0.00135409,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,KV,VN,272.4291402,0.36345741,0.001334136,0,1,2,endemic
pristomyrmex_mandibularis-male,Pristomyrmex.mandibularis_EGP0025G10_Fiji,KV,TA,321.200395,0.374056011,0.001164557,0,1,2,endemic
pristomyrmex_tsujii-female,Pristomyrmex.tsujii_EGP0029E11_Fiji,KR,VL,134.2731177,0.242778322,0.001808093,0,1,2,endemic
pristomyrmex_tsujii-male,Pristomyrmex.tsujii_EGP0029E11_Fiji,GA,VL,90.71651638,0.176740468,0.001948272,0,1,2,endemic
pristomyrmex_tsujii-male,Pristomyrmex.tsujii_EGP0029E11_Fiji,GA,TA,145.3386224,0.285965222,0.001967579,0,1,2,endemic
pristomyrmex_tsujii-male,Pristomyrmex.tsujii_EGP0029E11_Fiji,TA,VL,211.4216956,0.343021866,0.001622453,0,1,2,endemic
proceratium_relictum,Proceratium.relictum_EGP0091C09_Fiji,TA,VN,103.67885,0.100819759,0.000972424,0,1,1,endemic
pseudoponera_stigma,Pseudoponera.stigma_EGP0099C08_Fiji,TA,VN,96.68613387,0.002194971,2.27E-05,0,3,4,Exotic
rogeria_stigmatica,Rogeria.stigmatica_EGP0035C04_Fiji,GA,VN,144.9786832,0.016332082,0.000112652,0,2,3,widespread pacific native
rogeria_stigmatica,Rogeria.stigmatica_EGP0035C04_Fiji,GA,VL,185.3286475,0.007462607,4.03E-05,0,2,3,widespread pacific native
rogeria_stigmatica,Rogeria.stigmatica_EGP0035C04_Fiji,VL,VN,247.8694809,0.01619811,6.53E-05,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,TA,VN,28.3409686,0.016592315,0.000585453,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,BQ,KV,72.18386139,0.006394959,8.86E-05,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,GA,ML,94.86697562,0.007009821,7.39E-05,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,BQ,VL,103.3733749,0.065663519,0.000635207,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,BQ,GA,131.7881951,0.008043306,6.10E-05,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,GA,TA,140.4347395,0.080780815,0.00057522,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,GA,VN,145.527745,0.022120051,0.000151999,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,KV,VL,167.2932153,0.005692002,3.40E-05,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,GA,KV,172.3602379,0.007530802,4.37E-05,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,GA,VL,185.9805009,0.001790616,9.63E-06,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,BQ,ML,188.6364063,0.014715184,7.80E-05,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,ML,TA,192.8041072,0.045001343,0.000233404,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,KV,ML,194.9598723,0.002605445,1.34E-05,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,ML,VN,209.4101602,0.087264448,0.000416715,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,VL,VN,247.8694809,0.098402058,0.000396991,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,BQ,VN,250.0353835,0.085236316,0.000340897,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,BQ,TA,255.7180798,0.058331723,0.000228109,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,TA,VL,264.1290919,0.001194315,4.52E-06,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,ML,VL,268.7746371,0.047661587,0.000177329,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,KV,VN,308.1967596,0.029087645,9.44E-05,0,2,3,widespread pacific native
solenopsis_papuana,Solenopsis.papuana_EGP0036G03_Fiji,KV,TA,309.2832211,0.094261023,0.000304773,0,2,3,widespread pacific native
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,GA,LA,57.82531466,0.0269,0.000465194,0,1,1,endemic
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,KR,VN,69.6053279,0.0311,0.000446805,0,1,1,endemic
