sp,sp_beast,pop1 ,pop2,distance,fst,same island,endemic1,radiation1,category
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,KR,VL,200.9973723,0.07045051,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,MC,TA,205.4058021,0.033159462,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,KV,ML,209.9702961,0.003935666,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,BQ,VN,215.8862508,0.043829203,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,ML,VN,230.6327453,0.079329416,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,MC,ML,239.0459997,0.038287842,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,KR,KV,251.5462768,0.047072773,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,BQ,TA,255.8856113,0.097678675,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,TA,VL,264.4562616,0.086114527,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,ML,VL,267.5866396,0.011216347,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,KV,VN,291.5711275,0.098986969,0,2,3,widespread pacific native
