sp,sp_beast,pop1 ,pop2,distance,fst,same island,endemic1,radiation1,category
cardiocondyla_minutior,Cardiocondyla.minutior_EGP0031F09_Fiji,VL,YS,54.89105744,0.081309873,0,3,4,Exotic
cardiocondyla_minutior,Cardiocondyla.minutior_EGP0031F09_Fiji,KR,VL,202.7037246,0.081485412,0,3,4,Exotic
cardiocondyla_minutior,Cardiocondyla.minutior_EGP0031F09_Fiji,KR,YS,240.6967535,0.081909873,0,3,4,Exotic
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,MC,VL,20.14642476,0.0117832,0,3,4,Exotic
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,BQ,KV,74.54600124,0.012326623,0,3,4,Exotic
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,BQ,MC,116.8005536,0.070315319,0,3,4,Exotic
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,BQ,VL,118.1505941,0.011460514,0,3,4,Exotic
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,VL,VN,123.3104773,0.0101237,0,3,4,Exotic
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,MC,VN,138.9382895,0.0093171,0,3,4,Exotic
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,KV,MC,191.0331883,0.027489005,0,3,4,Exotic
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,KV,VL,192.6300604,0.023942269,0,3,4,Exotic
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,BQ,VN,227.4275612,0.103081828,0,3,4,Exotic
cardiocondyla_obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,KV,VN,297.4118739,0.010730601,0,3,4,Exotic
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,GA,LA,56.44907631,0.059202308,0,2,3,widespread pacific native
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,KR,LA,75.9095162,0.065044687,0,2,3,widespread pacific native
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,GA,KR,76.23266074,0.006123973,0,2,3,widespread pacific native
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,KR,VN,82.96597033,0.035344161,0,2,3,widespread pacific native
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,BQ,LA,109.9143972,0.05451682,0,2,3,widespread pacific native
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,BQ,GA,131.5775141,0.007784691,0,2,3,widespread pacific native
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,LA,VN,136.7723365,0.02124423,0,2,3,widespread pacific native
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,GA,VN,157.3115762,0.042674756,0,2,3,widespread pacific native
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,BQ,KR,184.8422876,0.010251576,0,2,3,widespread pacific native
carebara_atoma,Carebara.atoma_EGP0031H09_Fiji,BQ,VN,242.9318701,0.031318269,0,2,3,widespread pacific native
colobopsis_bryani,Colobopsis.bryani_clade_EGP0136A07_Fiji,GA,VL,91.06528397,0.036138,0,1,1,endemic
colobopsis_bryani,Colobopsis.bryani_clade_EGP0136A07_Fiji,GA,VN,132.3817267,0.044671844,0,1,1,endemic
colobopsis_bryani,Colobopsis.bryani_clade_EGP0136A07_Fiji,VL,VN,150.2856494,0.24849334,0,1,1,endemic
colobopsis_cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,TA,VN,103.7803741,0.10717684,0,1,1,endemic
colobopsis_cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,KV,VL,167.6339714,0.11134683,0,1,1,endemic
colobopsis_cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,VL,VN,181.0789026,0.128679885,0,1,1,endemic
colobopsis_cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,KV,VN,267.4357388,0.219043613,0,1,1,endemic
colobopsis_cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,TA,VL,273.1676683,0.279043613,0,1,1,endemic
colobopsis_cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,KV,TA,314.7849263,0.283925036,0,1,1,endemic
colobopsis_dentata-c1,Colobopsis.dentata_c1_EGP0070H11_Fiji,KV,VL,117.4676393,0.166470603,0,1,1,endemic
colobopsis_lamilata-c3,Colobopsis.laminata_c3_EGP0073G08_Fiji,KV,VL,125.6838186,0.151567622,0,1,1,endemic
colobopsis_lamilata-c3,Colobopsis.laminata_c3_EGP0073G08_Fiji,KR,VL,133.3262141,0.173392432,0,1,1,endemic
colobopsis_lamilata-c3,Colobopsis.laminata_c3_EGP0073G08_Fiji,KR,KV,251.4832685,0.19208717,0,1,1,endemic
colobopsis_polynesica-c1,Colobopsis.polynesica_c1_EGP0071G01_Fiji,KV,VN,291.5711275,0.252473885,0,1,1,endemic
colobopsis_polynesica-c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,LK,ML,122.7523084,0.174070402,0,1,1,endemic
colobopsis_polynesica-c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,KV,LK,129.6894537,0.101639425,0,1,1,endemic
colobopsis_polynesica-c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,LK,VL,144.1380766,0.127327802,0,1,1,endemic
colobopsis_polynesica-c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,KV,VL,167.1473189,0.128329707,0,1,1,endemic
colobopsis_polynesica-c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,LK,VN,173.4763367,0.149380804,0,1,1,endemic
colobopsis_polynesica-c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,VL,VN,189.9997411,0.158601854,0,1,1,endemic
colobopsis_polynesica-c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,KV,ML,208.1384229,0.192547469,0,1,1,endemic
colobopsis_polynesica-c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,ML,VN,230.9743166,0.234821357,0,1,1,endemic
colobopsis_polynesica-c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,ML,VL,266.5165941,0.26357096,0,1,1,endemic
colobopsis_polynesica-c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,KV,VN,291.5711275,0.289808756,0,1,1,endemic
colobopsis_polynesica-c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,GA,KR,76.91950037,0.195164118,0,1,1,endemic
colobopsis_polynesica-c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,KR,TA,77.14492001,0.203014626,0,1,1,endemic
colobopsis_polynesica-c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,GA,TA,144.6807807,0.221438444,0,1,1,endemic
colobopsis_polynesica-c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,GA,VL,185.4446775,0.230461786,0,1,1,endemic
colobopsis_polynesica-c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,KR,VL,200.8061218,0.264632136,0,1,1,endemic
colobopsis_polynesica-c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,TA,VL,271.6957356,0.285220421,0,1,1,endemic
colobopsis_vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,KR,TA,77.14492001,0.131045893,0,1,1,endemic
