sp,sp_beast,mean disturbance,mean elev,# islands,# unique localities,endemic,radiation,genus-radiation,category
Pheidole.onifera,Pheidole.onifera_EGP0016H09_Fiji,4.333333333,356.3333333,6,17,1,2,2,endemic
Pheidole.roosevelti,Pheidole.roosevelti_EGP0016D06_Fiji,4.785714286,529.9285714,3,26,1,1,1,endemic
Pheidole.simplispinosa,Pheidole.simplinosa_EGP0016E11_Fiji,4.473684211,537.7894737,3,17,1,1,1,endemic
Pheidole.ululevu,Pheidole.ululevu_EGP0025D07_Fiji,4.493670886,366.1772152,10,78,1,1,1,endemic
Pheidole.uncagena,Pheidole.uncagena_EGP0022C09_Fiji,4.6,690.2,3,10,1,1,1,endemic
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,4.4,430.8,8,34,1,1,1,endemic
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,4.47761194,449.0447761,8,65,1,1,1,endemic
Philidris.nagasau,Philidris.nagasau_EGP0068D11_Fiji,4.285714286,498.5714286,3,21,1,2,2,endemic
Poecilomyrma.fj03,Poecolomyrma.fj03_EGP0025A02_Fiji,4.714285714,589.9285714,6,14,1,1,1,endemic
Poecilomyrma.fj05,Poecolomyrma.fj05_EGP0031D05_Fiji,4.5,559.8,3,10,1,1,1,endemic
Poecilomyrma.senirewae,Poecolomyrma.senirewae_EGP0025G01_Fiji,4.266666667,768.6,1,15,1,1,1,endemic
Ponera.colaensis,Ponera.colaensis_EGP0099E11_Fiji,4.5,855.3333333,3,12,1,2,1,endemic
Ponera.fj02,Ponera.fj02_EGP0099F05_Fiji,4.75,364.25,5,8,1,2,1,endemic
Ponera.manni,Ponera.manni_EGP0102H11_Fiji,3.9,369.2,6,10,1,2,1,endemic
Pristomyrmex.mandibularis,Pristomyrmex.mandibularis_EGP0025G10_Fiji,4.49122807,462.7719298,8,57,1,1,1,endemic
Pristomyrmex.tsujii,Pristomyrmex.tsujii_EGP0029E11_Fiji,4.545454545,499.3863636,8,44,1,1,1,endemic
Proceratium.oceanicum,Proceratium.oceanicum_EGP0091B12_Fiji,4.4,655.7,3,10,1,1,1,endemic
Proceratium.relictum,Proceratium.relictum_EGP0091C09_Fiji,4.307692308,567.2307692,2,13,1,1,1,endemic
Proceratium.vinaka,Proceratium.vinaka_EGP0103A03_Fiji,4.714285714,647.5714286,3,7,1,1,1,endemic
Strumigenys.anorak,Strumigenys.necronom_EGP0067F05_Fiji,4.7,361.2,2,3,1,1,1,endemic
Strumigenys.avatar,Strumigenys.terminator_EGP0061H05_Fiji,5,468.5,1,1,1,1,1,endemic
Strumigenys.basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,4.516129032,417.7419355,7,31,1,1,1,endemic
Strumigenys.chernovi,Strumigenys.chernovi_EGP0037D06_Fiji,4.416666667,354.9583333,5,23,1,1,1,endemic
Strumigenys.ekasura,Strumigenys.ekasura_EGP0061B04_Fiji,4.36,354.88,6,24,1,1,1,endemic
Strumigenys.frivola,Strumigenys.frivola_EGP0061C07_Fiji,5,975,1,2,1,1,1,endemic
Strumigenys.gunter,Strumigenys.xenomorph_EGP0117D07_Fiji,5,300,1,2,1,1,1,endemic
Strumigenys.mailei,Strumigenys.mailei_EGP0067F07_Fiji,4.875,713.5,3,8,1,1,1,endemic
Strumigenys.nidifex,Strumigenys.nidifex_EGP0062A08_Fiji,4.666666667,592.2380952,6,20,1,1,1,endemic
Strumigenys.praefecta,Strumigenys.praefecta_EGP0062C07_Fiji,4.545454545,622.0909091,3,11,1,1,1,endemic
Strumigenys.sulcata,Strumigenys.sulcata_EGP0062G05_Fiji,4.555555556,639.0555556,4,18,1,1,1,endemic
Strumigenys.trauma,Strumigenys.trauma_EGP0035F11_Fiji,4.384615385,385.1153846,7,26,1,2,2,endemic
Strumigenys.vakata,Strumigenys.vakata_EGP0062B03_Fiji,4,180,1,1,1,1,1,endemic
Tapinoma.fj01,Tapinoma.fj01_EGP0103B08_Fiji,4.25,480,3,4,1,1,1,endemic
Tapinoma.fj02,Tapinoma.fj02_EGP0069G12_Fiji,4.5,314.5,1,2,1,1,1,endemic
Tetramorium.manni,Tetramorium.manni_EGP0064E11_Fiji,4.379310345,500.4827586,6,29,1,2,2,endemic
Vollenhovia.fj01,Vollenhovia.fj01_EGP0067E03_Fiji,4.833333333,518.5833333,3,12,1,1,1,endemic
Acropyga.lauta,Acropyga.lauta_EGP0102D05_Fiji,5,485,1,2,2,3,3,widespread pacific native
Adelomyrmex.hirsutus,Adelomyrmex.hirsutus_EGP0031F01_Fiji,4.25,415,4,8,2,3,3,widespread pacific native
Anochetus.graeffei,Anochetus.graeffei_EGP0091H05_Fiji,4.297297297,282.5675676,6,36,2,3,3,widespread pacific native
Camponotus.chloroticus,Camponotus.chloroticus_EGP0071D10_Fiji,3.772727273,142.1818182,8,19,2,3,3,widespread pacific native
Cardiocondyla.nuda,Cardiocondyla.nuda_EGP0031G03_Fiji,3.333333333,161,1,3,2,3,3,widespread pacific native
Carebara.atoma,Carebara.atoma_EGP0031H09_Fiji,4.533333333,302.4666667,7,15,2,3,3,widespread pacific native
