sp,sp_beast2,pop,Disturbance,Elevation,Latitude,Longitude,model,status1,status2,T_real,na,nc
tapinoma_minutum,Tapinoma.minutum_EGP0069G08_Fiji,tapinoma_minutum_vl,4.111111111,724.4444444,-17.6211,177.998,instantaneous,widespread Pacific native,2,445906.9735,2139.818396,97249.82451
technomyrmex_vitiensis,Technomyrmex.vitiensis_EGP0101G03_Fiji,technomyrmex_vitiensis_kv,4.222222222,241.3333333,-19.0775,178.121,instantaneous,widespread Pacific native,2,446300.4971,651.3653216,154439.0434
technomyrmex_vitiensis,Technomyrmex.vitiensis_EGP0101G03_Fiji,technomyrmex_vitiensis_ml,5,144,-18.5913,179.899,instantaneous,widespread Pacific native,2,119064.8634,1114.831023,16428.93034
technomyrmex_vitiensis,Technomyrmex.vitiensis_EGP0101G03_Fiji,technomyrmex_vitiensis_ta,4.222222222,340.1111111,-16.8546,-179.889,instantaneous,widespread Pacific native,2,418992.4512,1584.221523,76471.16501
technomyrmex_vitiensis,Technomyrmex.vitiensis_EGP0101G03_Fiji,technomyrmex_vitiensis_vl,4.290322581,475.9032258,-18.0553,178.424,instantaneous,widespread Pacific native,2,154139.3586,848.5588185,443528.6266
tetramorium_insolens,Tetramorium.insolens_EGP0064B06_Fiji,tetramorium_insolens_kv,4,94,-19.0775,178.121,instantaneous,widespread Pacific native,2,181276.648,1344.552233,66846.29663
tetramorium_insolens,Tetramorium.insolens_EGP0064B06_Fiji,tetramorium_insolens_vl,4.230769231,307.2307692,-18.2206,177.817,instantaneous,widespread Pacific native,2,180126.5506,839.219365,77886.27083
tetramorium_manni,Tetramorium.manni_EGP0064E11_Fiji,tetramorium_manni_ta,4.5,713,-16.8409,-179.968,instantaneous,endemic,1,872275.6641,19626.39871,174818.2212
tetramorium_manni,Tetramorium.manni_EGP0064E11_Fiji,tetramorium_manni_vl,4.416666667,594.5833333,-17.6211,178,exponential,endemic,1,51202.8528,7843.329062,3679.305663
tetramorium_manni,Tetramorium.manni_EGP0064E11_Fiji,tetramorium_manni_vn,3.857142857,266.8571429,-16.6814,179.188,instantaneous,endemic,1,18267282.88,1282704.51,59902.3006
tetramorium_pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,tetramorium_pacificum_bq,5,254,-18.4042,178.137,instantaneous,widespread Pacific native,2,285844.7937,813.1432956,158004.7198
tetramorium_pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,tetramorium_pacificum_ga,4.888888889,439.6666667,-17.9796,179.276,instantaneous,widespread Pacific native,2,409976.9503,858.6457392,218219.3193
tetramorium_pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,tetramorium_pacificum_kr,3.875,460.125,-17.2875,179.402,instantaneous,widespread Pacific native,2,150324.4468,909.973389,54330.59817
tetramorium_pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,tetramorium_pacificum_kv,4.4,313.6,-19.0775,178.121,instantaneous,widespread Pacific native,2,265732.4251,940.5843267,135423.168
tetramorium_pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,tetramorium_pacificum_la,5,375,-17.6873,178.825,instantaneous,widespread Pacific native,2,371101.4425,7358.49947,4015416.896
tetramorium_pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,tetramorium_pacificum_lk,4,100,-18.2208,-178.784,instantaneous,widespread Pacific native,2,336743.9406,376.3044427,144230.9076
tetramorium_pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,tetramorium_pacificum_ta,4.333333333,413.25,-16.8553,-179.889,instantaneous,widespread Pacific native,2,270782.2861,741.7086184,114216.3777
tetramorium_pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,tetramorium_pacificum_vl,4.27027027,493.2702703,-18.1736,178.257,instantaneous,widespread Pacific native,2,179668.9945,163.1882471,78295.41999
tetramorium_pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,tetramorium_pacificum_vn,3.956521739,271,-16.5325,179.017,instantaneous,widespread Pacific native,2,182584.623,583.351755,71905.80404
tetramorium_simillimum,Tetramorium.simillimum_EGP0066G11_Fiji,tetramorium_simillimum_kr,4,207.5,-17.2658,179.37,instantaneous,exotic,3,473981.7404,1771.41297,82198.785
tetramorium_simillimum,Tetramorium.simillimum_EGP0066G11_Fiji,tetramorium_simillimum_vl,2.8,399,-18.0314,178.533,instantaneous,exotic,3,187320.8943,886.914113,345094.2501
tetramorium_tonganum,Tetramorium.tonganum_EGP0067D04_Fiji,tetramorium_tonganum_ga,4.75,453.75,-17.9836,179.277,instantaneous,widespread Pacific native,2,97303.7157,39500.61365,205027.9351
tetramorium_tonganum,Tetramorium.tonganum_EGP0067D04_Fiji,tetramorium_tonganum_vl,4.25,363.8125,-18.0867,178.379,instantaneous,widespread Pacific native,2,168670.8133,1390.893476,179984.6758
tetramorium_tonganum,Tetramorium.tonganum_EGP0067D04_Fiji,tetramorium_tonganum_vn,4,227,-16.5332,179.018,instantaneous,widespread Pacific native,2,231888.3608,849.288937,152085.9918
vollenhovia_fj01,Vollenhovia.fj01_EGP0067E03_Fiji,vollenhovia_fj01_vl,4.777777778,522.2222222,-18.076,178.363,exponential,endemic,1,317836.2478,64732.97148,51022.52812
