sp,sp_beast2,best_model,status,status2,t_real,Na,Nc,mean disturbance,mean elev,population decline,# islands,# unique localities
Solenopsis.geminata,Solenopsis.geminata_EGP0035H08_Fiji,instantaneous,exotic,3,418302.7756,2407.08577,409848.9578,2.139534884,258.7906977,0,1,6
Solenopsis.papuana,Solenopsis.papuana_EGP0036G03_Fiji,instantaneous,widespread Pacific native,2,301597.0264,1105.006499,178853.7826,4.454545455,372.1090909,0,9,54
Strumigenys.basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,exponential,endemic,1,7044857.644,130722.7902,27159.85451,4.516129032,417.7419355,1,7,31
Strumigenys.chernovi,Strumigenys.chernovi_EGP0037D06_Fiji,exponential,endemic,1,1372429.969,173477.0672,25812.6765,4.416666667,354.9583333,1,5,23
Strumigenys.ekasura,Strumigenys.ekasura_EGP0061B04_Fiji,exponential,endemic,1,746319.6488,185700.4958,23378.57856,4.36,354.88,1,6,24
Strumigenys.godeffroyi,Strumigenys.godeffroyi_EGP0061D04_Fiji,instantaneous,widespread Pacific native,2,202138.0687,1074.262311,155901.3431,4.15,283.875,0,8,41
Strumigenys.nidifex,Strumigenys.nidifex_EGP0062A08_Fiji,exponential,endemic,1,1849910.229,255247.4129,24672.77526,4.666666667,592.2380952,1,6,20
Strumigenys.rogeri,Strumigenys.rogeri_EGP0062E04_Fiji,instantaneous,exotic,3,923448.6426,18336.44154,74319.43122,4.296296296,285.7037037,0,6,26
Strumigenys.sulcata,Strumigenys.sulcata_EGP0062G05_Fiji,exponential,endemic,1,865394.4496,296926.4688,16987.84681,4.555555556,639.0555556,1,4,18
Strumigenys.trauma,Strumigenys.trauma_EGP0035F11_Fiji,exponential,endemic,1,848820.5807,185114.5807,18253.17668,4.384615385,385.1153846,1,7,26
Tapinoma.melanocephalum,Tapinoma.melanocephalum_EGP0069D02_Fiji,instantaneous,exotic,3,308095.0404,2831.678057,173337.8147,2.666666667,249.9349594,0,10,41
Tapinoma.minutum,Tapinoma.minutum_EGP0069G08_Fiji,instantaneous,widespread Pacific native,2,445906.9735,2139.818396,97249.82451,3.916666667,593.5,0,4,13
Technomyrmex.vitiensis,Technomyrmex.vitiensis_EGP0101G03_Fiji,instantaneous,widespread Pacific native,2,284624.2926,1049.744172,172716.9413,4.107843137,323.8235294,0,11,95
Tetramorium.insolens,Tetramorium.insolens_EGP0064B06_Fiji,instantaneous,widespread Pacific native,2,180701.5993,1091.885799,72366.28373,4.25,247.5,0,10,28
Tetramorium.manni,Tetramorium.manni_EGP0064E11_Fiji,instantaneous,endemic,1,6396920.466,436724.7459,79466.60915,4.379310345,500.4827586,1,6,29
Tetramorium.pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,instantaneous,widespread Pacific native,2,272528.8781,1416.155476,554449.2456,3.86013986,370.8881119,0,12,108
Tetramorium.simillimum,Tetramorium.simillimum_EGP0066G11_Fiji,instantaneous,exotic,3,330651.3174,1329.163542,213646.518,2.605263158,117.4210526,0,8,16
Tetramorium.tonganum,Tetramorium.tonganum_EGP0067D04_Fiji,instantaneous,widespread Pacific native,2,165954.2966,13913.59869,179032.8676,4.068181818,304.1590909,0,10,44
Vollenhovia.fj01,Vollenhovia.fj01_EGP0067E03_Fiji,exponential,endemic,1,317836.2478,64732.97148,51022.52812,4.833333333,518.5833333,1,3,12
